label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
uniformed,314,403,221,316,20.jpg,1280,720
non_uniformed,527,593,167,125,20.jpg,1280,720
non_uniformed,588,125,38,77,20.jpg,1280,720
non_uniformed,598,101,37,81,20.jpg,1280,720
baton,842,584,43,133,20.jpg,1280,720
uniformed,633,341,251,376,21.jpg,1280,720
uniformed,314,402,218,316,21.jpg,1280,720
non_uniformed,527,592,168,127,21.jpg,1280,720
non_uniformed,588,119,37,84,21.jpg,1280,720
non_uniformed,603,101,30,74,21.jpg,1280,720
baton,843,584,41,132,21.jpg,1280,720
uniformed,633,346,248,372,22.jpg,1280,720
uniformed,314,403,218,314,22.jpg,1280,720
non_uniformed,528,593,166,125,22.jpg,1280,720
baton,846,585,33,132,22.jpg,1280,720
non_uniformed,590,123,35,74,22.jpg,1280,720
non_uniformed,603,97,35,81,22.jpg,1280,720
uniformed,601,344,266,374,23.jpg,1280,720
uniformed,316,404,236,313,23.jpg,1280,720
non_uniformed,519,581,178,137,23.jpg,1280,720
non_uniformed,588,123,37,78,23.jpg,1280,720
non_uniformed,604,100,31,76,23.jpg,1280,720
baton,832,578,38,139,23.jpg,1280,720
uniformed,601,343,264,374,24.jpg,1280,720
uniformed,317,411,232,306,24.jpg,1280,720
non_uniformed,520,581,177,136,24.jpg,1280,720
non_uniformed,586,122,39,80,24.jpg,1280,720
non_uniformed,603,100,32,71,24.jpg,1280,720
baton,831,579,32,136,24.jpg,1280,720
uniformed,619,344,247,373,25.jpg,1280,720
uniformed,313,411,236,307,25.jpg,1280,720
non_uniformed,520,583,177,134,25.jpg,1280,720
baton,832,579,32,138,25.jpg,1280,720
non_uniformed,589,125,34,74,25.jpg,1280,720
non_uniformed,602,101,30,75,25.jpg,1280,720
uniformed,601,344,277,373,26.jpg,1280,720
uniformed,314,410,239,307,26.jpg,1280,720
non_uniformed,519,580,178,137,26.jpg,1280,720
baton,822,575,52,143,26.jpg,1280,720
non_uniformed,581,120,46,83,26.jpg,1280,720
non_uniformed,602,97,32,75,26.jpg,1280,720
uniformed,605,352,254,368,27.jpg,1280,720
uniformed,314,419,245,301,27.jpg,1280,720
non_uniformed,519,599,146,120,27.jpg,1280,720
baton,820,573,28,144,27.jpg,1280,720
non_uniformed,589,126,35,73,27.jpg,1280,720
non_uniformed,603,99,30,79,27.jpg,1280,720
uniformed,605,354,251,366,28.jpg,1280,720
uniformed,316,414,241,305,28.jpg,1280,720
non_uniformed,494,599,172,121,28.jpg,1280,720
baton,820,580,33,137,28.jpg,1280,720
non_uniformed,585,119,39,84,28.jpg,1280,720
non_uniformed,604,101,29,75,28.jpg,1280,720
uniformed,591,359,262,361,29.jpg,1280,720
uniformed,315,425,249,293,29.jpg,1280,720
non_uniformed,526,595,140,122,29.jpg,1280,720
non_uniformed,587,126,36,73,29.jpg,1280,720
non_uniformed,606,98,26,76,29.jpg,1280,720
baton,812,577,41,140,29.jpg,1280,720
uniformed,661,342,255,378,3.jpg,1280,720
uniformed,336,389,183,329,3.jpg,1280,720
non_uniformed,500,605,189,115,3.jpg,1280,720
non_uniformed,589,126,34,75,3.jpg,1280,720
non_uniformed,607,98,28,79,3.jpg,1280,720
baton,869,605,43,113,3.jpg,1280,720
uniformed,591,356,259,364,30.jpg,1280,720
uniformed,317,425,258,292,30.jpg,1280,720
non_uniformed,511,596,154,121,30.jpg,1280,720
non_uniformed,588,122,39,80,30.jpg,1280,720
non_uniformed,606,99,26,76,30.jpg,1280,720
baton,816,575,34,143,30.jpg,1280,720
uniformed,591,358,259,362,31.jpg,1280,720
uniformed,319,425,254,293,31.jpg,1280,720
non_uniformed,505,595,160,122,31.jpg,1280,720
baton,816,574,28,144,31.jpg,1280,720
non_uniformed,588,124,37,78,31.jpg,1280,720
non_uniformed,606,100,27,76,31.jpg,1280,720
uniformed,591,358,260,362,32.jpg,1280,720
uniformed,314,425,258,292,32.jpg,1280,720
non_uniformed,505,594,160,123,32.jpg,1280,720
baton,812,572,32,144,32.jpg,1280,720
non_uniformed,588,124,34,78,32.jpg,1280,720
non_uniformed,605,103,28,73,32.jpg,1280,720
uniformed,590,353,259,367,33.jpg,1280,720
uniformed,318,436,267,281,33.jpg,1280,720
non_uniformed,512,591,154,127,33.jpg,1280,720
baton,808,570,33,148,33.jpg,1280,720
non_uniformed,590,121,33,80,33.jpg,1280,720
non_uniformed,603,98,31,83,33.jpg,1280,720
uniformed,588,352,259,368,34.jpg,1280,720
uniformed,314,436,270,282,34.jpg,1280,720
non_uniformed,516,593,149,125,34.jpg,1280,720
non_uniformed,588,121,37,79,34.jpg,1280,720
non_uniformed,602,102,33,72,34.jpg,1280,720
baton,812,565,26,153,34.jpg,1280,720
uniformed,317,435,261,283,35.jpg,1280,720
uniformed,592,353,255,367,35.jpg,1280,720
non_uniformed,512,599,143,120,35.jpg,1280,720
non_uniformed,591,127,36,74,35.jpg,1280,720
non_uniformed,603,99,32,80,35.jpg,1280,720
baton,811,563,33,155,35.jpg,1280,720
uniformed,315,435,264,282,36.jpg,1280,720
uniformed,589,353,258,367,36.jpg,1280,720
non_uniformed,504,599,152,119,36.jpg,1280,720
non_uniformed,589,123,36,78,36.jpg,1280,720
non_uniformed,604,99,30,78,36.jpg,1280,720
baton,808,565,32,154,36.jpg,1280,720
uniformed,317,435,263,282,37.jpg,1280,720
uniformed,592,353,256,367,37.jpg,1280,720
non_uniformed,504,599,152,120,37.jpg,1280,720
non_uniformed,588,124,34,76,37.jpg,1280,720
non_uniformed,604,100,30,76,37.jpg,1280,720
baton,815,564,26,154,37.jpg,1280,720
uniformed,317,435,262,283,38.jpg,1280,720
uniformed,590,353,257,367,38.jpg,1280,720
non_uniformed,504,599,152,120,38.jpg,1280,720
baton,808,566,33,152,38.jpg,1280,720
non_uniformed,588,124,36,75,38.jpg,1280,720
non_uniformed,607,102,26,73,38.jpg,1280,720
uniformed,597,350,251,369,39.jpg,1280,720
uniformed,317,435,249,282,39.jpg,1280,720
non_uniformed,505,598,155,118,39.jpg,1280,720
non_uniformed,589,124,36,74,39.jpg,1280,720
non_uniformed,602,103,31,70,39.jpg,1280,720
baton,811,562,37,154,39.jpg,1280,720
uniformed,332,389,186,328,4.jpg,1280,720
uniformed,661,349,253,371,4.jpg,1280,720
non_uniformed,500,602,189,118,4.jpg,1280,720
baton,864,602,43,115,4.jpg,1280,720
non_uniformed,589,125,36,75,4.jpg,1280,720
non_uniformed,605,96,32,82,4.jpg,1280,720
uniformed,597,350,254,369,40.jpg,1280,720
uniformed,318,429,248,289,40.jpg,1280,720
non_uniformed,505,598,156,122,40.jpg,1280,720
baton,809,565,36,153,40.jpg,1280,720
non_uniformed,589,124,36,72,40.jpg,1280,720
non_uniformed,604,101,31,76,40.jpg,1280,720
uniformed,602,341,255,377,41.jpg,1280,720
uniformed,327,423,219,297,41.jpg,1280,720
non_uniformed,493,603,189,114,41.jpg,1280,720
baton,807,567,43,141,41.jpg,1280,720
non_uniformed,589,123,37,80,41.jpg,1280,720
non_uniformed,604,101,29,78,41.jpg,1280,720
uniformed,328,423,216,295,42.jpg,1280,720
uniformed,597,340,261,378,42.jpg,1280,720
non_uniformed,493,603,189,114,42.jpg,1280,720
baton,810,566,41,145,42.jpg,1280,720
non_uniformed,588,126,36,72,42.jpg,1280,720
non_uniformed,604,100,30,75,42.jpg,1280,720
uniformed,327,423,218,294,43.jpg,1280,720
uniformed,589,340,268,378,43.jpg,1280,720
non_uniformed,493,603,189,113,43.jpg,1280,720
baton,808,559,43,143,43.jpg,1280,720
non_uniformed,589,124,36,78,43.jpg,1280,720
non_uniformed,601,101,34,83,43.jpg,1280,720
uniformed,334,407,205,312,44.jpg,1280,720
uniformed,616,340,249,380,44.jpg,1280,720
non_uniformed,497,605,192,113,44.jpg,1280,720
non_uniformed,588,123,41,75,44.jpg,1280,720
non_uniformed,603,101,31,73,44.jpg,1280,720
baton,809,569,51,140,44.jpg,1280,720
uniformed,336,412,203,305,45.jpg,1280,720
uniformed,616,340,250,377,45.jpg,1280,720
non_uniformed,493,605,194,113,45.jpg,1280,720
baton,810,571,49,125,45.jpg,1280,720
non_uniformed,586,123,41,77,45.jpg,1280,720
non_uniformed,604,102,30,76,45.jpg,1280,720
uniformed,336,413,203,304,46.jpg,1280,720
uniformed,617,340,248,377,46.jpg,1280,720
non_uniformed,492,605,195,113,46.jpg,1280,720
baton,814,571,46,127,46.jpg,1280,720
non_uniformed,588,126,35,72,46.jpg,1280,720
non_uniformed,603,104,33,74,46.jpg,1280,720
uniformed,334,417,205,300,47.jpg,1280,720
uniformed,617,340,250,376,47.jpg,1280,720
non_uniformed,492,605,195,113,47.jpg,1280,720
non_uniformed,588,121,37,78,47.jpg,1280,720
non_uniformed,602,103,31,75,47.jpg,1280,720
baton,817,569,42,125,47.jpg,1280,720
uniformed,338,408,193,309,48.jpg,1280,720
uniformed,633,342,243,377,48.jpg,1280,720
non_uniformed,495,604,189,113,48.jpg,1280,720
non_uniformed,587,124,37,74,48.jpg,1280,720
non_uniformed,603,102,31,74,48.jpg,1280,720
baton,820,572,53,117,48.jpg,1280,720
uniformed,633,334,241,384,49.jpg,1280,720
uniformed,337,408,194,309,49.jpg,1280,720
non_uniformed,495,603,195,117,49.jpg,1280,720
non_uniformed,587,124,39,80,49.jpg,1280,720
non_uniformed,601,103,31,75,49.jpg,1280,720
baton,823,575,48,115,49.jpg,1280,720
uniformed,671,339,242,381,5.jpg,1280,720
uniformed,329,392,183,326,5.jpg,1280,720
non_uniformed,500,604,177,114,5.jpg,1280,720
baton,877,599,33,112,5.jpg,1280,720
non_uniformed,587,126,36,71,5.jpg,1280,720
non_uniformed,605,103,30,69,5.jpg,1280,720
uniformed,647,336,241,383,50.jpg,1280,720
uniformed,334,397,191,322,50.jpg,1280,720
non_uniformed,503,596,181,122,50.jpg,1280,720
baton,826,578,55,126,50.jpg,1280,720
non_uniformed,588,124,37,82,50.jpg,1280,720
non_uniformed,599,101,35,78,50.jpg,1280,720
uniformed,647,336,241,383,51.jpg,1280,720
uniformed,332,397,187,320,51.jpg,1280,720
non_uniformed,504,597,181,121,51.jpg,1280,720
non_uniformed,586,127,39,74,51.jpg,1280,720
non_uniformed,605,103,30,72,51.jpg,1280,720
baton,827,576,54,127,51.jpg,1280,720
uniformed,332,398,191,322,52.jpg,1280,720
uniformed,641,332,252,387,52.jpg,1280,720
non_uniformed,506,598,176,120,52.jpg,1280,720
baton,826,576,57,129,52.jpg,1280,720
non_uniformed,589,124,39,77,52.jpg,1280,720
non_uniformed,603,101,30,76,52.jpg,1280,720
uniformed,662,333,235,386,53.jpg,1280,720
uniformed,334,397,190,320,53.jpg,1280,720
non_uniformed,507,589,184,129,53.jpg,1280,720
non_uniformed,587,125,41,76,53.jpg,1280,720
non_uniformed,605,101,28,69,53.jpg,1280,720
baton,832,582,58,134,53.jpg,1280,720
uniformed,661,333,233,385,54.jpg,1280,720
uniformed,338,397,186,320,54.jpg,1280,720
non_uniformed,507,589,185,128,54.jpg,1280,720
non_uniformed,588,125,37,77,54.jpg,1280,720
non_uniformed,604,102,29,74,54.jpg,1280,720
baton,832,580,58,136,54.jpg,1280,720
uniformed,661,330,235,389,55.jpg,1280,720
uniformed,338,397,180,320,55.jpg,1280,720
non_uniformed,507,588,185,128,55.jpg,1280,720
non_uniformed,588,124,35,77,55.jpg,1280,720
non_uniformed,603,103,30,69,55.jpg,1280,720
baton,834,579,58,136,55.jpg,1280,720
uniformed,663,334,234,386,56.jpg,1280,720
uniformed,346,398,182,319,56.jpg,1280,720
non_uniformed,519,584,175,134,56.jpg,1280,720
non_uniformed,589,124,38,78,56.jpg,1280,720
non_uniformed,603,101,28,75,56.jpg,1280,720
baton,844,585,50,134,56.jpg,1280,720
uniformed,663,334,235,386,57.jpg,1280,720
uniformed,345,399,181,320,57.jpg,1280,720
non_uniformed,518,584,177,133,57.jpg,1280,720
baton,843,586,54,132,57.jpg,1280,720
non_uniformed,588,125,35,75,57.jpg,1280,720
non_uniformed,603,103,30,74,57.jpg,1280,720
uniformed,664,335,236,385,58.jpg,1280,720
uniformed,346,399,182,319,58.jpg,1280,720
non_uniformed,518,584,177,133,58.jpg,1280,720
non_uniformed,589,124,35,76,58.jpg,1280,720
non_uniformed,605,103,30,73,58.jpg,1280,720
baton,846,583,51,134,58.jpg,1280,720
uniformed,656,329,243,390,59.jpg,1280,720
uniformed,359,411,186,307,59.jpg,1280,720
non_uniformed,528,582,158,136,59.jpg,1280,720
non_uniformed,588,125,38,74,59.jpg,1280,720
non_uniformed,601,100,33,71,59.jpg,1280,720
baton,846,585,46,133,59.jpg,1280,720
uniformed,671,339,246,381,6.jpg,1280,720
uniformed,327,392,181,326,6.jpg,1280,720
non_uniformed,497,604,180,114,6.jpg,1280,720
non_uniformed,587,124,37,76,6.jpg,1280,720
non_uniformed,605,101,29,75,6.jpg,1280,720
baton,877,601,42,115,6.jpg,1280,720
uniformed,654,330,240,390,60.jpg,1280,720
uniformed,358,411,185,307,60.jpg,1280,720
non_uniformed,526,584,168,134,60.jpg,1280,720
non_uniformed,588,125,39,73,60.jpg,1280,720
non_uniformed,603,100,31,79,60.jpg,1280,720
baton,850,583,47,134,60.jpg,1280,720
uniformed,671,339,246,381,7.jpg,1280,720
uniformed,322,392,186,326,7.jpg,1280,720
non_uniformed,497,604,181,114,7.jpg,1280,720
non_uniformed,588,125,37,74,7.jpg,1280,720
non_uniformed,608,98,27,78,7.jpg,1280,720
baton,875,599,42,118,7.jpg,1280,720
uniformed,670,338,247,382,8.jpg,1280,720
uniformed,324,392,184,327,8.jpg,1280,720
non_uniformed,496,604,181,114,8.jpg,1280,720
non_uniformed,588,124,38,73,8.jpg,1280,720
non_uniformed,605,101,31,74,8.jpg,1280,720
baton,875,596,36,124,8.jpg,1280,720
uniformed,676,335,245,385,9.jpg,1280,720
uniformed,318,381,188,339,9.jpg,1280,720
non_uniformed,499,600,192,120,9.jpg,1280,720
non_uniformed,590,124,34,77,9.jpg,1280,720
non_uniformed,605,102,30,74,9.jpg,1280,720
baton,869,594,48,125,9.jpg,1280,720
non_uniformed,591,127,32,71,9.jpg,1280,720
