"index","id","label","time_start","time_end","clarity_level","youtube_id","url_id","user_id"
"3907","c8XhnyAzJsE25","throwing","569","571","none","c8XhnyAzJsE","804","1"
"3908","c8XhnyAzJsE26","running","568","571","bad","c8XhnyAzJsE","804","1"
"3909","ix9yAD59eDU1","throwing","0","2","none","ix9yAD59eDU","617","1"
"3910","ix9yAD59eDU2","running","2","6","bad","ix9yAD59eDU","617","1"
"3911","ix9yAD59eDU3","advancing","14","22","none","ix9yAD59eDU","617","1"
"3912","ix9yAD59eDU4","throwing","18","21","none","ix9yAD59eDU","617","1"
"3913","ix9yAD59eDU5","throwing","40","43","none","ix9yAD59eDU","617","1"
"3914","ix9yAD59eDU6","running","67","70","bad","ix9yAD59eDU","617","1"
"3915","ix9yAD59eDU7","advancing","67","70","none","ix9yAD59eDU","617","1"
"3916","ix9yAD59eDU8","running","76","78","bad","ix9yAD59eDU","617","1"
"3917","ix9yAD59eDU9","advancing","76","80","none","ix9yAD59eDU","617","1"
"3918","ix9yAD59eDU10","restraining","81","87","bad","ix9yAD59eDU","617","1"
"3919","Qd_bxXSipIA1","running","0","4","bad","Qd_bxXSipIA","232","1"
"3920","Qd_bxXSipIA2","advancing","0","4","none","Qd_bxXSipIA","232","1"
"3921","Qd_bxXSipIA3","advancing","17","24","none","Qd_bxXSipIA","232","1"
"3922","Qd_bxXSipIA4","running","17","24","bad","Qd_bxXSipIA","232","1"
"3923","Qd_bxXSipIA5","advancing","84","94","none","Qd_bxXSipIA","232","1"
"3924","u1NzMe7vOC01","running","9","13","medium","u1NzMe7vOC0","850","1"
"3925","u1NzMe7vOC02","throwing","10","13","none","u1NzMe7vOC0","850","1"
"3926","u1NzMe7vOC03","advancing","23","25","none","u1NzMe7vOC0","850","1"
"3927","u1NzMe7vOC04","advancing","26","29","none","u1NzMe7vOC0","850","1"
"3928","u1NzMe7vOC05","advancing","33","36","none","u1NzMe7vOC0","850","1"
"3929","u1NzMe7vOC06","advancing","48","50","none","u1NzMe7vOC0","850","1"
"3930","u1NzMe7vOC07","advancing","51","54","none","u1NzMe7vOC0","850","1"
"3931","u1NzMe7vOC08","throwing","115","118","none","u1NzMe7vOC0","850","1"
"10256","SVBfJBVYK7k2","person on ground","76","90","easy","SVBfJBVYK7k","1018","2"
"10308","C3oOiTIzsTQ1","striking","40","44","easy","C3oOiTIzsTQ","1038","2"
"3932","u1NzMe7vOC09","running","115","118","bad","u1NzMe7vOC0","850","1"
"3933","u1NzMe7vOC010","throwing","129","132","none","u1NzMe7vOC0","850","1"
"3934","u1NzMe7vOC011","running","129","131","bad","u1NzMe7vOC0","850","1"
"3935","u1NzMe7vOC012","running","132","134","bad","u1NzMe7vOC0","850","1"
"3936","u1NzMe7vOC013","throwing","139","140","none","u1NzMe7vOC0","850","1"
"3937","u1NzMe7vOC014","running","154","157","medium","u1NzMe7vOC0","850","1"
"3938","u1NzMe7vOC015","advancing","153","156","none","u1NzMe7vOC0","850","1"
"3939","u1NzMe7vOC016","advancing","184","188","none","u1NzMe7vOC0","850","1"
"3940","u1NzMe7vOC017","advancing","228","230","none","u1NzMe7vOC0","850","1"
"3941","SfA-7XrJWPQ1","crowd","0","5","none","SfA-7XrJWPQ","57","1"
"3942","SfA-7XrJWPQ2","running","4","8","bad","SfA-7XrJWPQ","57","1"
"3943","SfA-7XrJWPQ3","throwing","13","14","none","SfA-7XrJWPQ","57","1"
"3944","SfA-7XrJWPQ4","throwing","21","23","none","SfA-7XrJWPQ","57","1"
"3945","SfA-7XrJWPQ5","running","20","23","bad","SfA-7XrJWPQ","57","1"
"3946","SfA-7XrJWPQ6","crowd","73","79","none","SfA-7XrJWPQ","57","1"
"3947","SfA-7XrJWPQ7","crowd","86","106","none","SfA-7XrJWPQ","57","1"
"3948","1Ce_2jeunr81","throwing","2","4","none","1Ce_2jeunr8","500","1"
"3949","1Ce_2jeunr82","running","2","4","bad","1Ce_2jeunr8","500","1"
"3950","1Ce_2jeunr83","throwing","17","20","none","1Ce_2jeunr8","500","1"
"3951","1Ce_2jeunr84","advancing","47","51","none","1Ce_2jeunr8","500","1"
"3952","1Ce_2jeunr85","advancing","58","61","none","1Ce_2jeunr8","500","1"
"3953","1Ce_2jeunr86","advancing","68","71","none","1Ce_2jeunr8","500","1"
"3954","1Ce_2jeunr87","crowd","68","71","none","1Ce_2jeunr8","500","1"
"3955","1Ce_2jeunr88","advancing","72","76","none","1Ce_2jeunr8","500","1"
"3956","1Ce_2jeunr89","advancing","78","81","none","1Ce_2jeunr8","500","1"
"3957","1Ce_2jeunr810","advancing","83","88","none","1Ce_2jeunr8","500","1"
"3958","1Ce_2jeunr811","crowd","83","88","none","1Ce_2jeunr8","500","1"
"3959","1Ce_2jeunr812","advancing","89","92","none","1Ce_2jeunr8","500","1"
"3960","1Ce_2jeunr813","advancing","100","104","none","1Ce_2jeunr8","500","1"
"3961","1Ce_2jeunr814","crowd","100","104","none","1Ce_2jeunr8","500","1"
"3962","1Ce_2jeunr815","crowd","129","132","none","1Ce_2jeunr8","500","1"
"3963","rK5MDKoueI41","throwing","8","10","none","rK5MDKoueI4","846","1"
"4324","_octQfKaHjw15","throwing","527","533","none","_octQfKaHjw","941","1"
"10580","Hb_pwU7JlOY15","striking","177","198","easy","Hb_pwU7JlOY","1077","3"
"3964","rK5MDKoueI42","throwing","10","11","none","rK5MDKoueI4","846","1"
"3965","rK5MDKoueI43","throwing","13","17","none","rK5MDKoueI4","846","1"
"3966","rK5MDKoueI44","throwing","18","23","none","rK5MDKoueI4","846","1"
"3967","rK5MDKoueI45","throwing","37","39","none","rK5MDKoueI4","846","1"
"3968","rK5MDKoueI46","advancing","38","45","none","rK5MDKoueI4","846","1"
"3969","rK5MDKoueI47","running","38","44","hard","rK5MDKoueI4","846","1"
"3970","rK5MDKoueI48","throwing","66","68","none","rK5MDKoueI4","846","1"
"3971","rK5MDKoueI49","throwing","69","73","none","rK5MDKoueI4","846","1"
"3972","rK5MDKoueI410","advancing","80","83","none","rK5MDKoueI4","846","1"
"3973","rK5MDKoueI411","running","80","83","easy","rK5MDKoueI4","846","1"
"3974","rK5MDKoueI412","brawling","84","95","none","rK5MDKoueI4","846","1"
"3975","rK5MDKoueI413","striking","84","95","none","rK5MDKoueI4","846","1"
"3976","rK5MDKoueI414","brawling","97","105","none","rK5MDKoueI4","846","1"
"3977","rK5MDKoueI415","striking","97","105","none","rK5MDKoueI4","846","1"
"3978","rK5MDKoueI416","brawling","107","112","none","rK5MDKoueI4","846","1"
"3979","rK5MDKoueI417","striking","107","112","none","rK5MDKoueI4","846","1"
"3980","rK5MDKoueI418","restraining","114","118","easy","rK5MDKoueI4","846","1"
"3981","rK5MDKoueI419","restraining","119","122","hard","rK5MDKoueI4","846","1"
"3982","rK5MDKoueI420","blood","123","125","none","rK5MDKoueI4","846","1"
"3983","rK5MDKoueI421","crowd","127","136","none","rK5MDKoueI4","846","1"
"3984","rK5MDKoueI422","crowd","162","164","none","rK5MDKoueI4","846","1"
"3985","rK5MDKoueI423","crowd","169","173","none","rK5MDKoueI4","846","1"
"3986","rK5MDKoueI424","crowd","175","179","none","rK5MDKoueI4","846","1"
"3987","rK5MDKoueI425","running","175","180","medium","rK5MDKoueI4","846","1"
"3988","rK5MDKoueI426","running","180","185","medium","rK5MDKoueI4","846","1"
"3989","w9qePpj7KbI1","throwing","2","7","none","w9qePpj7KbI","241","1"
"3990","w9qePpj7KbI2","running","0","4","easy","w9qePpj7KbI","241","1"
"3991","w9qePpj7KbI3","aiming","9","10","none","w9qePpj7KbI","241","1"
"3992","w9qePpj7KbI4","running","15","19","easy","w9qePpj7KbI","241","1"
"3993","w9qePpj7KbI5","throwing","19","22","none","w9qePpj7KbI","241","1"
"3994","w9qePpj7KbI6","spray","28","30","none","w9qePpj7KbI","241","1"
"3995","w9qePpj7KbI7","striking","54","57","none","w9qePpj7KbI","241","1"
"3996","w9qePpj7KbI8","striking","60","62","none","w9qePpj7KbI","241","1"
"3997","w9qePpj7KbI9","crowd","63","68","none","w9qePpj7KbI","241","1"
"3998","w9qePpj7KbI10","running","71","74","easy","w9qePpj7KbI","241","1"
"3999","w9qePpj7KbI11","spray","75","81","none","w9qePpj7KbI","241","1"
"4000","w9qePpj7KbI12","running","82","87","easy","w9qePpj7KbI","241","1"
"4001","ut96fMZ3h9I1","throwing","8","9","none","ut96fMZ3h9I","670","1"
"4002","ut96fMZ3h9I2","throwing","10","13","none","ut96fMZ3h9I","670","1"
"4003","ut96fMZ3h9I3","throwing","29","31","none","ut96fMZ3h9I","670","1"
"4004","ut96fMZ3h9I4","throwing","44","46","none","ut96fMZ3h9I","670","1"
"4005","ut96fMZ3h9I5","crowd","48","50","none","ut96fMZ3h9I","670","1"
"4006","7bKwrlJzcRg1","throwing","6","8","none","7bKwrlJzcRg","867","1"
"10301","aeudb1mf-Po3","brawling","154","160","easy","aeudb1mf-Po","1037","2"
"10309","C3oOiTIzsTQ2","aiming","15","18","medium","C3oOiTIzsTQ","1038","2"
"4007","7bKwrlJzcRg2","throwing","14","16","none","7bKwrlJzcRg","867","1"
"4008","7bKwrlJzcRg3","spray","53","63","none","7bKwrlJzcRg","867","1"
"4009","7bKwrlJzcRg4","spray","70","80","none","7bKwrlJzcRg","867","1"
"4010","7bKwrlJzcRg5","person_on_ground","82","88","medium","7bKwrlJzcRg","867","1"
"4011","7bKwrlJzcRg6","restraining","137","145","hard","7bKwrlJzcRg","867","1"
"4012","7bKwrlJzcRg7","blood","150","164","none","7bKwrlJzcRg","867","1"
"4013","7bKwrlJzcRg8","crowd","177","179","none","7bKwrlJzcRg","867","1"
"4014","7bKwrlJzcRg9","crowd","181","191","none","7bKwrlJzcRg","867","1"
"4015","7bKwrlJzcRg10","crowd","194","199","none","7bKwrlJzcRg","867","1"
"4016","tGxvFdVYsts1","striking","37","45","none","tGxvFdVYsts","937","1"
"4017","tGxvFdVYsts2","person_on_ground","72","86","bad","tGxvFdVYsts","937","1"
"4018","IISIFof9Bew2","brawling","31","40","none","IISIFof9Bew","197","1"
"4019","IISIFof9Bew3","person_on_ground","39","41","bad","IISIFof9Bew","197","1"
"4020","IISIFof9Bew4","restraining","43","54","bad","IISIFof9Bew","197","1"
"4021","IISIFof9Bew5","striking","54","56","none","IISIFof9Bew","197","1"
"4022","IISIFof9Bew6","restraining","60","68","bad","IISIFof9Bew","197","1"
"4023","IISIFof9Bew7","brawling","76","88","none","IISIFof9Bew","197","1"
"4024","IISIFof9Bew8","person_on_ground","87","90","bad","IISIFof9Bew","197","1"
"4025","IISIFof9Bew9","person_on_ground","92","98","bad","IISIFof9Bew","197","1"
"4026","VteCacGLlhQ1","throwing","30","40","none","VteCacGLlhQ","851","1"
"4027","VteCacGLlhQ2","throwing","249","251","none","VteCacGLlhQ","851","1"
"4028","VteCacGLlhQ3","crowd","330","333","none","VteCacGLlhQ","851","1"
"4029","VteCacGLlhQ4","throwing","321","324","none","VteCacGLlhQ","851","1"
"4030","VteCacGLlhQ5","throwing","326","329","none","VteCacGLlhQ","851","1"
"4031","VteCacGLlhQ6","throwing","346","350","none","VteCacGLlhQ","851","1"
"4032","VteCacGLlhQ7","crowd","364","389","none","VteCacGLlhQ","851","1"
"4033","IDFf66kSIrE1","throwing","4","7","none","IDFf66kSIrE","424","1"
"4034","IDFf66kSIrE2","throwing","9","12","none","IDFf66kSIrE","424","1"
"4035","IDFf66kSIrE3","throwing","12","15","none","IDFf66kSIrE","424","1"
"4036","IDFf66kSIrE4","throwing","15","18","none","IDFf66kSIrE","424","1"
"4037","IDFf66kSIrE5","throwing","18","21","none","IDFf66kSIrE","424","1"
