label,youtube_id,time_start,time_end,split,clarity_level,bad_egg
crowd,EWhcAi2O5gk3,15,17,train,,False
crowd,EWhcAi2O5gk4,19,23,train,,False
crowd,EWhcAi2O5gk5,25,27,train,,False
crowd,EWhcAi2O5gk6,36,39,train,,False
crowd,EWhcAi2O5gk7,40,44,train,,False
crowd,UBNRj1eRWLs1,0,14,train,,False
crowd,UBNRj1eRWLs2,16,46,train,,False
crowd,UBNRj1eRWLs3,49,62,train,,False
crowd,UBNRj1eRWLs4,65,76,train,,False
running,UBNRj1eRWLs5,77,78,train,,True
running,UBNRj1eRWLs6,85,86,train,,True
running,UBNRj1eRWLs7,96,98,train,,True
crowd,UBNRj1eRWLs8,96,106,train,,False
restraining,UBNRj1eRWLs9,137,167,train,easy,False
restraining,UBNRj1eRWLs10,184,214,train,easy,False
restraining,UBNRj1eRWLs11,228,241,train,easy,False
restraining,UBNRj1eRWLs12,269,285,train,easy,False
crowd,UBNRj1eRWLs13,291,302,train,,False
crowd,UBNRj1eRWLs14,305,308,train,,False
crowd,UBNRj1eRWLs15,310,314,train,,False
running,UBNRj1eRWLs16,312,315,train,hard,False
crowd,UBNRj1eRWLs17,318,320,train,,False
crowd,UBNRj1eRWLs18,343,345,train,,False
crowd,UBNRj1eRWLs19,367,375,train,,False
crowd,UBNRj1eRWLs20,390,398,train,,False
crowd,UBNRj1eRWLs21,403,414,train,,False
crowd,UBNRj1eRWLs22,416,422,train,,False
advancing,UBNRj1eRWLs23,416,422,train,,False
running,UBNRj1eRWLs24,420,424,train,hard,False
advancing,UBNRj1eRWLs25,430,433,train,,False
crowd,UBNRj1eRWLs26,444,447,train,,False
crowd,UBNRj1eRWLs27,452,454,train,,False
crowd,UBNRj1eRWLs28,486,500,train,,False
running,UBNRj1eRWLs29,488,491,train,,True
crowd,UBNRj1eRWLs30,562,570,train,,False
crowd,UBNRj1eRWLs31,575,586,train,,False
advancing,UBNRj1eRWLs32,581,586,train,,False
advancing,UBNRj1eRWLs33,593,608,train,,False
spray,UBNRj1eRWLs34,612,614,train,medium,False
crowd,UBNRj1eRWLs35,635,639,train,,False
crowd,UBNRj1eRWLs36,647,650,train,,False
crowd,UBNRj1eRWLs37,652,659,train,,False
person_on_ground,UBNRj1eRWLs38,663,669,train,,True
running,UBNRj1eRWLs39,723,724,train,,True
crowd,ebolOvmrW901,0,4,train,,False
crowd,ebolOvmrW902,6,14,train,,False
crowd,ebolOvmrW903,16,19,train,,False
crowd,ebolOvmrW904,23,26,train,,False
restraining,ebolOvmrW905,31,35,train,medium,False
restraining,ebolOvmrW906,36,40,train,hard,False
person_on_ground,ebolOvmrW907,36,39,train,,True
restraining,ebolOvmrW908,40,45,train,medium,False
crowd,ebolOvmrW909,45,47,train,,False
crowd,ebolOvmrW9010,51,65,train,,False
running,ebolOvmrW9011,52,55,train,hard,False
running,ebolOvmrW9012,56,58,train,,True
running,ebolOvmrW9013,66,67,train,,True
running,ebolOvmrW9014,77,79,train,hard,False
running,ebolOvmrW9015,81,85,train,medium,False
running,ebolOvmrW9016,89,90,train,,True
restraining,ebolOvmrW9017,96,113,train,easy,False
person_on_ground,ebolOvmrW9018,101,108,train,easy,False
restraining,ebolOvmrW9019,114,123,train,easy,False
person_on_ground,ebolOvmrW9020,114,117,train,easy,False
running,ebolOvmrW9021,126,132,train,hard,False
restraining,ebolOvmrW9022,127,137,train,medium,False
person_on_ground,ebolOvmrW9023,131,134,train,,True
person_on_ground,ebolOvmrW9024,140,151,train,,True
restraining,ebolOvmrW9025,140,151,train,,True
restraining,ebolOvmrW9026,155,163,train,hard,False
crowd,7JKWRE9yx5M1,7,11,train,,False
crowd,7JKWRE9yx5M2,12,18,train,,False
running,7JKWRE9yx5M3,13,19,train,,True
crowd,7JKWRE9yx5M4,25,29,train,,False
running,7JKWRE9yx5M5,24,25,train,,True
person_on_ground,7JKWRE9yx5M6,26,29,train,,True
striking,7JKWRE9yx5M8,32,34,train,,True
crowd,7JKWRE9yx5M9,39,45,train,,False
crowd,7JKWRE9yx5M10,47,54,train,,False
running,7JKWRE9yx5M11,50,53,train,,True
striking,7JKWRE9yx5M12,58,60,train,,True
crowd,DSrbkPHC6Fo1,90,100,train,,False
person_on_ground,DSrbkPHC6Fo2,90,95,train,,True
restraining,DSrbkPHC6Fo3,98,100,train,,True
crowd,DSrbkPHC6Fo4,124,134,train,,False
crowd,MTJlyb8Odlc1,0,30,train,,False
crowd,MTJlyb8Odlc2,41,71,train,,False
crowd,MTJlyb8Odlc3,105,125,train,,False
crowd,MTJlyb8Odlc4,126,156,train,,False
crowd,MTJlyb8Odlc5,166,185,train,,False
crowd,MTJlyb8Odlc6,187,212,train,,False
crowd,MTJlyb8Odlc7,214,244,train,,False
crowd,MTJlyb8Odlc8,245,275,train,,False
crowd,MTJlyb8Odlc9,515,545,train,,False
crowd,MTJlyb8Odlc10,560,590,train,,False
person_on_ground,ixc5jas6U3Q1,4,30,train,,True
person_on_ground,ixc5jas6U3Q2,37,55,train,,True
striking,ixc5jas6U3Q3,45,47,train,,True
striking,ixc5jas6U3Q4,52,54,train,hard,False
crowd,ZzsKYlDqu5Q1,17,27,train,,False
running,ZzsKYlDqu5Q2,20,23,train,,True
crowd,ZzsKYlDqu5Q3,29,35,train,,False
crowd,ZzsKYlDqu5Q4,37,43,train,,False
crowd,ZzsKYlDqu5Q5,45,50,train,,False
crowd,ZzsKYlDqu5Q6,62,71,train,,False
crowd,r4WFKmznKNQ1,0,7,train,,False
crowd,r4WFKmznKNQ2,11,13,train,,False
crowd,r4WFKmznKNQ3,21,30,train,,False
advancing,r4WFKmznKNQ4,37,47,train,,False
running,r4WFKmznKNQ5,43,46,train,medium,False
brawling,r4WFKmznKNQ6,44,54,train,,False
person_on_ground,r4WFKmznKNQ7,56,58,train,,True
striking,r4WFKmznKNQ8,66,68,train,hard,False
person_on_ground,r4WFKmznKNQ9,67,70,train,hard,False
person_on_ground,r4WFKmznKNQ10,74,78,train,hard,False
running,r4WFKmznKNQ11,82,83,train,,True
advancing,r4WFKmznKNQ12,102,105,train,,False
running,r4WFKmznKNQ13,110,113,train,hard,False
advancing,r4WFKmznKNQ14,116,124,train,,False
person_on_ground,r4WFKmznKNQ15,129,130,train,,True
crowd,r4WFKmznKNQ16,140,165,train,,False
advancing,r4WFKmznKNQ17,158,171,train,,False
running,r4WFKmznKNQ18,172,177,train,hard,False
striking,1bglsyniUE41,8,10,train,hard,False
advancing,1bglsyniUE42,10,12,train,,False
crowd,1bglsyniUE43,10,12,train,,False
striking,1bglsyniUE44,15,23,train,hard,False
striking,1bglsyniUE45,27,29,train,medium,False
running,1bglsyniUE46,27,31,train,,True
crowd,1bglsyniUE47,77,78,train,,False
crowd,UapG81m99FQ1,44,46,train,,False
crowd,UapG81m99FQ2,100,104,train,,False
advancing,UapG81m99FQ3,110,114,train,,False
spray,UapG81m99FQ4,129,132,train,easy,False
spray,UapG81m99FQ5,134,137,train,medium,False
crowd,UapG81m99FQ6,182,186,train,,False
crowd,UapG81m99FQ7,197,200,train,,False
crowd,UapG81m99FQ8,204,218,train,,False
crowd,UapG81m99FQ9,221,240,train,,False
running,UapG81m99FQ10,217,218,train,,True
advancing,UapG81m99FQ11,221,232,train,,False
crowd,UapG81m99FQ12,244,252,train,,False
crowd,Yk1wblZznsk1,0,7,train,,False
restraining,Yk1wblZznsk2,2,6,train,,True
restraining,Yk1wblZznsk3,10,18,train,easy,False
crowd,Yk1wblZznsk4,19,21,train,,False
crowd,Yk1wblZznsk5,29,32,train,,False
crowd,Yk1wblZznsk6,36,43,train,,False
crowd,Yk1wblZznsk7,54,58,train,,False
advancing,Yk1wblZznsk8,54,58,train,,False
restraining,Yk1wblZznsk9,66,70,train,medium,False
crowd,qnpMkLKsLCA1,2,4,train,,False
advancing,qnpMkLKsLCA2,2,4,train,,False
crowd,qnpMkLKsLCA3,5,8,train,,False
advancing,qnpMkLKsLCA4,5,8,train,,False
crowd,qnpMkLKsLCA5,10,12,train,,False
crowd,qnpMkLKsLCA6,17,19,train,,False
crowd,qnpMkLKsLCA7,20,23,train,,False
running,qnpMkLKsLCA8,27,28,train,,True
running,qnpMkLKsLCA9,37,39,train,,True
crowd,qnpMkLKsLCA10,40,43,train,,False
running,qnpMkLKsLCA11,41,43,train,,True
crowd,qnpMkLKsLCA12,44,47,train,,False
running,qnpMkLKsLCA13,44,47,train,,True
crowd,qnpMkLKsLCA14,52,55,train,,False
running,qnpMkLKsLCA15,56,59,train,,True
person_on_ground,qnpMkLKsLCA16,60,62,train,,True
running,qnpMkLKsLCA17,65,67,train,,True
running,qnpMkLKsLCA18,72,74,train,,True
running,qnpMkLKsLCA19,75,78,train,,True
crowd,qnpMkLKsLCA20,75,78,train,,False
crowd,qnpMkLKsLCA21,79,82,train,,False
running,qnpMkLKsLCA22,79,82,train,,True
running,ORFdsOyucu01,3,5,train,,True
running,ORFdsOyucu02,8,12,train,,True
running,ORFdsOyucu03,14,15,train,,True
crowd,ORFdsOyucu04,30,33,train,,False
running,ORFdsOyucu05,53,55,train,,True
crowd,ORFdsOyucu06,58,60,train,,False
crowd,8ExgX7Hb2XU1,20,22,train,,False
crowd,8ExgX7Hb2XU2,27,31,train,,False
crowd,8ExgX7Hb2XU3,38,40,train,,False
crowd,8ExgX7Hb2XU4,148,170,train,,False
crowd,8ExgX7Hb2XU5,173,178,train,,False
crowd,8ExgX7Hb2XU6,181,191,train,,False
crowd,8ExgX7Hb2XU7,221,228,train,,False
crowd,8ExgX7Hb2XU8,234,253,train,,False
crowd,8ExgX7Hb2XU9,267,277,train,,False
crowd,8ExgX7Hb2XU10,282,302,train,,False
crowd,8ExgX7Hb2XU11,318,335,train,,False
crowd,8ExgX7Hb2XU12,355,360,train,,False
crowd,8ExgX7Hb2XU13,370,374,train,,False
crowd,8ExgX7Hb2XU14,377,380,train,,False
striking,8ExgX7Hb2XU15,382,384,train,,True
crowd,8ExgX7Hb2XU16,401,431,train,,False
crowd,Dt9-byUhPdg1,7,11,train,,False
crowd,Dt9-byUhPdg2,12,18,train,,False
crowd,Dt9-byUhPdg3,28,34,train,,False
crowd,Dt9-byUhPdg4,49,59,train,,False
crowd,Dt9-byUhPdg5,60,67,train,,False
crowd,Dt9-byUhPdg6,70,100,train,,False
crowd,Dt9-byUhPdg7,120,122,train,,False
crowd,Dt9-byUhPdg8,127,130,train,,False
crowd,Dt9-byUhPdg9,131,133,train,,False
crowd,Dt9-byUhPdg10,138,141,train,,False
crowd,Dt9-byUhPdg11,142,145,train,,False
crowd,Dt9-byUhPdg12,146,148,train,,False
crowd,Dt9-byUhPdg13,149,152,train,,False
crowd,Dt9-byUhPdg14,153,157,train,,False
crowd,Dt9-byUhPdg15,158,162,train,,False
crowd,Dt9-byUhPdg16,167,172,train,,False
running,Dt9-byUhPdg17,181,186,train,,True
running,Dt9-byUhPdg18,186,189,train,,True
crowd,Dt9-byUhPdg19,191,196,train,,False
running,Dt9-byUhPdg20,193,196,train,,True
crowd,Dt9-byUhPdg21,268,275,train,,False
running,Dt9-byUhPdg22,283,287,train,medium,False
crowd,9pAia49_ovA1,37,42,train,,False
advancing,9pAia49_ovA2,37,42,train,,False
crowd,9pAia49_ovA3,43,55,train,,False
advancing,9pAia49_ovA4,43,55,train,,False
blood,9pAia49_ovA5,56,57,train,,False
crowd,vHbyxKQxnBs1,0,9,train,,False
crowd,vHbyxKQxnBs2,26,28,train,,False
restraining,vHbyxKQxnBs3,26,28,train,,True
crowd,vHbyxKQxnBs4,37,41,train,,False
crowd,vHbyxKQxnBs5,52,63,train,,False
crowd,vHbyxKQxnBs6,65,68,train,,False
crowd,vHbyxKQxnBs7,87,92,train,,False
crowd,vHbyxKQxnBs8,93,97,train,,False
crowd,vHbyxKQxnBs9,98,102,train,,False
advancing,vHbyxKQxnBs10,98,102,train,,False
crowd,vHbyxKQxnBs11,103,107,train,,False
advancing,vHbyxKQxnBs12,103,107,train,,False
restraining,vHbyxKQxnBs13,108,112,train,easy,False
crowd,vHbyxKQxnBs14,113,118,train,,False
crowd,vHbyxKQxnBs15,119,122,train,,False
crowd,vHbyxKQxnBs16,123,127,train,,False
advancing,vHbyxKQxnBs17,130,133,train,,False
restraining,vHbyxKQxnBs18,134,141,train,easy,False
crowd,vHbyxKQxnBs19,173,177,train,,False
crowd,8oJMGgaww701,0,23,train,,False
advancing,8oJMGgaww702,2,7,train,,False
running,8oJMGgaww703,3,10,train,hard,False
brawling,8oJMGgaww704,6,20,train,,False
striking,8oJMGgaww705,9,16,train,medium,False
striking,8oJMGgaww706,24,26,train,medium,False
person_on_ground,8oJMGgaww707,23,25,train,,True
person_on_ground,8oJMGgaww708,33,42,train,medium,False
crowd,8oJMGgaww709,46,76,train,,False
advancing,8oJMGgaww7010,47,69,train,,False
striking,8oJMGgaww7011,68,77,train,medium,False
crowd,8oJMGgaww7012,78,108,train,,False
crowd,UHa-PLwBgkI1,17,21,train,,False
running,UHa-PLwBgkI2,23,28,train,medium,False
crowd,UHa-PLwBgkI3,22,27,train,,False
crowd,UHa-PLwBgkI4,33,41,train,,False
running,UHa-PLwBgkI5,35,38,train,hard,False
crowd,UHa-PLwBgkI6,42,47,train,,False
running,UHa-PLwBgkI7,43,48,train,medium,False
striking,UHa-PLwBgkI8,54,56,train,,True
crowd,UHa-PLwBgkI9,73,77,train,,False
crowd,UHa-PLwBgkI10,78,83,train,,False
crowd,UHa-PLwBgkI11,84,106,train,,False
running,UHa-PLwBgkI12,87,90,train,,True
running,UHa-PLwBgkI13,99,102,train,,True
crowd,UHa-PLwBgkI14,130,132,train,,False
crowd,UHa-PLwBgkI15,133,140,train,,False
running,UHa-PLwBgkI16,138,140,train,,True
spray,UHa-PLwBgkI17,140,143,train,hard,False
running,UHa-PLwBgkI18,144,149,train,,True
striking,UHa-PLwBgkI19,146,148,train,medium,False
running,UHa-PLwBgkI20,159,161,train,medium,False
crowd,8aONGnwjOcE1,10,12,train,,False
crowd,8aONGnwjOcE2,50,80,train,,False
crowd,8aONGnwjOcE3,85,95,train,,False
advancing,8aONGnwjOcE4,85,95,train,,False
running,Sxsf5rlET6g1,6,13,train,medium,False
aiming,Sxsf5rlET6g2,13,16,train,,False
advancing,Sxsf5rlET6g3,31,37,train,,False
aiming,Sxsf5rlET6g4,31,36,train,,False
blood,Sxsf5rlET6g5,43,50,train,,False
restraining,Sxsf5rlET6g6,58,62,train,medium,False
restraining,Sxsf5rlET6g7,62,69,train,easy,False
restraining,Sxsf5rlET6g8,58,61,train,,True
restraining,Sxsf5rlET6g9,62,68,train,,True
throwing,Ov4M5DJyWFk1,36,38,train,,False
running,Ov4M5DJyWFk2,41,44,train,medium,False
striking,Ov4M5DJyWFk3,53,56,train,medium,False
blood,Ov4M5DJyWFk4,70,75,train,,False
blood,Ov4M5DJyWFk5,76,79,train,,False
crowd,Ov4M5DJyWFk6,88,93,train,,False
crowd,Ov4M5DJyWFk7,94,103,train,,False
throwing,Ov4M5DJyWFk8,104,109,train,,False
running,Ov4M5DJyWFk9,111,114,train,medium,False
throwing,Ov4M5DJyWFk10,112,114,train,,False
blood,Ov4M5DJyWFk11,76,78,train,,False
crowd,Ov4M5DJyWFk12,80,84,train,,False
running,Ov4M5DJyWFk13,82,84,train,,True
crowd,Ov4M5DJyWFk14,85,93,train,,False
crowd,Ov4M5DJyWFk15,94,103,train,,False
running,Ov4M5DJyWFk16,96,102,train,medium,False
running,Ov4M5DJyWFk17,105,109,train,,True
running,Ov4M5DJyWFk18,111,114,train,,True
crowd,Ov4M5DJyWFk19,117,121,train,,False
running,Ov4M5DJyWFk20,121,122,train,,True
running,Ov4M5DJyWFk21,123,131,train,,True
crowd,Ov4M5DJyWFk22,123,143,train,,False
crowd,Ov4M5DJyWFk23,144,154,train,,False
running,uHc3t9yKlRo1,6,10,train,easy,False
throwing,uHc3t9yKlRo2,11,13,train,,False
running,uHc3t9yKlRo3,13,17,train,medium,False
running,uHc3t9yKlRo4,30,35,train,medium,False
throwing,uHc3t9yKlRo5,37,40,train,,False
throwing,uHc3t9yKlRo7,44,46,train,,False
crowd,uHc3t9yKlRo8,21,24,train,,False
running,uHc3t9yKlRo9,21,23,train,,True
running,uHc3t9yKlRo10,30,35,train,,True
crowd,uHc3t9yKlRo11,30,35,train,,False
running,uHc3t9yKlRo12,36,40,train,,True
crowd,uHc3t9yKlRo13,36,40,train,,False
crowd,uHc3t9yKlRo14,41,46,train,,False
crowd,uHc3t9yKlRo15,52,55,train,,False
crowd,-sPYqifV7U01,0,8,train,,False
crowd,-sPYqifV7U02,9,18,train,,False
crowd,-sPYqifV7U03,19,23,train,,False
running,-sPYqifV7U04,19,23,train,,True
crowd,-sPYqifV7U05,24,28,train,,False
crowd,-sPYqifV7U06,29,33,train,,False
crowd,-sPYqifV7U07,39,44,train,,False
advancing,-sPYqifV7U08,39,44,train,,False
crowd,c8j3h7fuYsY1,6,11,train,,False
crowd,c8j3h7fuYsY2,12,25,train,,False
crowd,c8j3h7fuYsY3,43,48,train,,False
advancing,c8j3h7fuYsY4,43,48,train,,False
crowd,c8j3h7fuYsY5,53,56,train,,False
crowd,c8j3h7fuYsY6,78,85,train,,False
running,c8j3h7fuYsY7,81,84,train,,True
crowd,c8j3h7fuYsY8,114,119,train,,False
advancing,c8j3h7fuYsY9,114,119,train,,False
crowd,c8j3h7fuYsY10,137,158,train,,False
advancing,c8j3h7fuYsY11,137,158,train,,False
spray,c8j3h7fuYsY12,147,151,train,medium,False
person_on_ground,c8j3h7fuYsY13,161,167,train,medium,False
restraining,c8j3h7fuYsY14,160,167,train,medium,False
crowd,c8j3h7fuYsY15,176,177,train,,False
crowd,270F8s5TEKY1,80,86,train,,False
crowd,270F8s5TEKY2,88,110,train,,False
advancing,270F8s5TEKY3,88,110,train,,False
person_on_ground,270F8s5TEKY4,123,125,train,,True
striking,270F8s5TEKY5,124,126,train,hard,True
advancing,270F8s5TEKY6,156,159,train,,False
advancing,270F8s5TEKY7,160,175,train,,False
crowd,270F8s5TEKY8,188,190,train,,False
advancing,270F8s5TEKY9,192,198,train,,False
advancing,270F8s5TEKY10,199,208,train,,False
advancing,270F8s5TEKY11,210,225,train,,False
crowd,270F8s5TEKY12,581,589,train,,False
crowd,270F8s5TEKY13,595,600,train,,False
crowd,270F8s5TEKY14,605,610,train,,False
advancing,270F8s5TEKY15,605,610,train,,False
crowd,270F8s5TEKY16,644,654,train,,False
brawling,270F8s5TEKY17,644,654,train,,False
crowd,270F8s5TEKY18,664,672,train,,False
striking,270F8s5TEKY19,664,668,train,medium,False
crowd,270F8s5TEKY20,682,686,train,,False
crowd,270F8s5TEKY21,687,695,train,,False
crowd,270F8s5TEKY22,696,705,train,,False
crowd,270F8s5TEKY23,707,730,train,,False
crowd,270F8s5TEKY24,732,745,train,,False
crowd,IZvA7elG3lg1,19,26,train,,False
person_on_ground,IZvA7elG3lg2,28,32,train,,True
crowd,IZvA7elG3lg3,33,37,train,,False
crowd,IZvA7elG3lg4,38,45,train,,False
crowd,IZvA7elG3lg5,46,50,train,,False
crowd,IZvA7elG3lg6,51,54,train,,False
crowd,IZvA7elG3lg7,55,59,train,,False
crowd,IZvA7elG3lg8,60,63,train,,False
crowd,DeUallPawsI1,6,14,train,,False
running,DeUallPawsI2,7,11,train,medium,False
crowd,DeUallPawsI3,21,24,train,,False
striking,DeUallPawsI4,21,23,train,,True
crowd,DeUallPawsI5,25,29,train,,False
crowd,DeUallPawsI6,40,42,train,,False
crowd,DeUallPawsI7,43,47,train,,False
crowd,DeUallPawsI8,48,54,train,,False
crowd,sKiV8hKHw281,11,25,train,,False
crowd,se_XUIwEeDE1,0,4,train,,False
spray,se_XUIwEeDE2,1,5,train,easy,False
crowd,se_XUIwEeDE3,5,10,train,,False
spray,se_XUIwEeDE4,6,10,train,medium,False
crowd,se_XUIwEeDE5,12,17,train,,False
crowd,se_XUIwEeDE6,18,25,train,,False
crowd,se_XUIwEeDE7,26,34,train,,False
running,se_XUIwEeDE8,26,29,train,medium,False
crowd,se_XUIwEeDE9,35,53,train,,False
advancing,se_XUIwEeDE10,42,46,train,,False
brawling,I5FjLdHJ8dQ1,18,28,train,,False
striking,I5FjLdHJ8dQ2,25,27,train,medium,False
striking,I5FjLdHJ8dQ3,30,32,train,medium,False
person_on_ground,I5FjLdHJ8dQ4,41,51,train,medium,False
person_on_ground,I5FjLdHJ8dQ5,59,63,train,medium,False
person_on_ground,I5FjLdHJ8dQ6,76,91,train,,True
person_on_ground,I5FjLdHJ8dQ7,114,124,train,hard,False
striking,w3gjPubsNtI3,67,71,train,medium,False
striking,w3gjPubsNtI4,69,70,train,,True
striking,w3gjPubsNtI5,110,112,train,medium,False
brawling,w3gjPubsNtI6,116,141,train,,False
throwing,w3gjPubsNtI7,120,121,train,,False
striking,w3gjPubsNtI8,121,124,train,medium,False
throwing,w3gjPubsNtI9,125,126,train,,False
striking,w3gjPubsNtI10,137,141,train,medium,False
throwing,w3gjPubsNtI11,145,146,train,,False
throwing,w3gjPubsNtI12,151,152,train,,False
throwing,w3gjPubsNtI13,158,160,train,,False
throwing,w3gjPubsNtI14,163,164,train,,False
throwing,w3gjPubsNtI15,164,165,train,,False
striking,w3gjPubsNtI16,191,193,train,medium,False
striking,w3gjPubsNtI17,216,217,train,hard,True
striking,w3gjPubsNtI18,217,221,train,medium,False
striking,w3gjPubsNtI19,219,220,train,,True
brawling,w3gjPubsNtI20,219,240,train,,False
striking,w3gjPubsNtI21,223,231,train,medium,False
striking,w3gjPubsNtI22,236,237,train,,True
striking,w3gjPubsNtI23,239,242,train,medium,False
striking,w3gjPubsNtI24,260,262,train,medium,False
person_on_ground,w3gjPubsNtI25,318,323,train,,True
striking,w3gjPubsNtI26,324,326,train,hard,False
striking,w3gjPubsNtI27,388,389,train,,True
striking,w3gjPubsNtI28,398,400,train,medium,False
person_on_ground,w3gjPubsNtI29,404,418,train,medium,False
brawling,w3gjPubsNtI30,401,417,train,,False
person_on_ground,w3gjPubsNtI31,404,405,train,,True
striking,w3gjPubsNtI32,401,405,train,medium,False
striking,w3gjPubsNtI33,406,410,train,medium,False
striking,w3gjPubsNtI34,413,415,train,medium,False
striking,w3gjPubsNtI35,416,417,train,,True
striking,w3gjPubsNtI36,422,423,train,,True
striking,w3gjPubsNtI37,542,551,train,hard,False
person_on_ground,w3gjPubsNtI38,560,563,train,medium,False
striking,w3gjPubsNtI39,564,569,train,medium,False
person_on_ground,w3gjPubsNtI40,572,577,train,medium,False
person_on_ground,w3gjPubsNtI41,381,383,train,,True
striking,w3gjPubsNtI42,379,380,train,,True
striking,w3gjPubsNtI43,625,627,train,medium,False
person_on_ground,w3gjPubsNtI44,621,623,train,,True
striking,w3gjPubsNtI45,619,621,train,medium,False
striking,w3gjPubsNtI46,625,626,train,,True
striking,w3gjPubsNtI47,635,636,train,,True
striking,w3gjPubsNtI48,636,637,train,,True
striking,w3gjPubsNtI49,638,641,train,easy,False
striking,w3gjPubsNtI50,640,641,train,,True
striking,w3gjPubsNtI51,652,654,train,easy,False
person_on_ground,w3gjPubsNtI52,658,661,train,easy,False
person_on_ground,w3gjPubsNtI53,665,667,train,medium,False
person_on_ground,w3gjPubsNtI54,678,686,train,medium,False
striking,w3gjPubsNtI55,759,763,train,medium,False
striking,w3gjPubsNtI56,762,763,train,,True
person_on_ground,w3gjPubsNtI57,764,767,train,medium,False
striking,w3gjPubsNtI58,774,778,train,medium,False
striking,w3gjPubsNtI59,776,778,train,,True
person_on_ground,w3gjPubsNtI60,780,800,train,medium,False
striking,w3gjPubsNtI61,803,806,train,medium,False
running,w3gjPubsNtI62,807,809,train,,True
striking,w3gjPubsNtI63,808,809,train,,True
striking,w3gjPubsNtI64,816,818,train,medium,False
striking,w3gjPubsNtI65,817,818,train,,True
person_pointing,w3gjPubsNtI66,819,820,train,,False
striking,w3gjPubsNtI67,822,825,train,hard,False
striking,w3gjPubsNtI68,830,831,train,,True
striking,w3gjPubsNtI69,833,834,train,,True
striking,w3gjPubsNtI70,852,853,train,,True
striking,w3gjPubsNtI71,877,885,train,easy,False
striking,w3gjPubsNtI72,879,884,train,,True
striking,w3gjPubsNtI73,885,888,train,easy,False
striking,w3gjPubsNtI74,888,891,train,easy,False
striking,w3gjPubsNtI75,893,895,train,easy,False
striking,w3gjPubsNtI76,896,898,train,medium,False
striking,w3gjPubsNtI77,919,921,train,easy,False
striking,w3gjPubsNtI78,938,940,train,medium,False
person_on_ground,w3gjPubsNtI79,940,950,train,easy,False
striking,w3gjPubsNtI80,994,996,train,hard,False
striking,w3gjPubsNtI81,997,1000,train,medium,False
